dias;tesouroUS;eurodolar;prata ;euroyen;ouro;libra;eurolibra;aluminio;gas;microouro;cobre;dolaraustralia
183;0;-0.00005;-0.005971;-0.004437;0.004341;0.003688;-0.001317;-0.000602;0.012885;0.003968;-0.014532;-0.001547
184;-0.002416;-0.00015;0.073132;0.003808;0.017762;0.00641;0.003296;0.004969;-0.040929;0.017655;0.002082;0.00634
185;0.004325;0.0001;-0.00858;-0.005004;0.007095;0.00567;-0.00794;0.012137;0.038062;0.007043;0.005886;0.0028
186;-0.000861;0.00015;0.001113;0.003083;0.004525;0.001313;0.002208;-0.000296;0.03;0.004525;0.000172;0.001117
187;0.005689;0.00025;-0.039229;0.004125;-0.005733;0.009719;-0.00369;0.001037;-0.013484;-0.005682;-0.000344;0.001116
188;-0.000171;0.00005;0.036375;0.004671;0.010554;0.001222;-0.005251;0.001775;-0.016402;0.010554;-0.015665;-0.004457
189;-0.003772;-0.00005;0.00831;-0.000401;0.00163;-0.002213;-0.000278;0.023331;0.167871;0.00163;0.017139;-0.003778
190;0.006539;0.00005;0.066503;-0.00008;0.017904;-0.001453;0.003279;0.015584;0.043789;0.017904;-0.006362;0.005056
191;-0.003761;-0.0002;0.033254;0.005213;0.014941;0.004595;0.002105;-0.004263;-0.000912;0.014941;0.007614;0.00517
192;0.000858;0.00005;0.056182;0.000718;0.010044;0.002592;-0.001493;0.003995;-0.011867;0.010044;-0.002061;0.005839
193;-0.003601;-0.0002;-0.030084;-0.004465;-0.02018;-0.007451;-0.000332;-0.003269;0.033718;-0.02018;-0.03958;-0.011748
194;-0.001721;-0.0001;0.062325;-0.003123;0.007114;0.001226;-0.004542;0.006559;-0.03798;0.007114;0.024368;0.00014
195;-0.011895;-0.000401;-0.109816;0.006909;-0.045347;-0.000383;0.000501;0.000567;0.00836;-0.045347;0.004723;0.00014
196;-0.001919;0.00005;-0.003149;0.005107;0.00119;-0.002832;0.006173;-0.002407;-0.008752;0.00119;0.005223;0.001398
197;-0.005419;-0.0001;0.067001;0.001746;0.011267;0.001842;-0.000663;-0.016321;0.013941;0.011267;-0.02875;-0.002653
198;0.000176;0.00005;-0.058821;0;-0.010068;0.003065;0.000166;-0.016159;0.079743;-0.010068;0.018545;0.0042
199;0.002811;0.00015;0.060541;-0.002694;0.024781;0.000306;0.002754;0.009972;-0.007216;0.024781;0.014706;0.005716
200;0.002628;0.0001;0.014687;0.000159;0.007254;0.011454;-0.005393;0.015827;0.033348;0.007254;0.02519;0.004297
201;-0.002097;0.00015;-0.026168;-0.002225;-0.020356;-0.009814;0.002883;0.013579;0.003724;-0.020356;0.016156;-0.005521
202;0.005079;-0.0001;-0.007066;-0.001672;-0.012712;0.007472;-0.00774;-0.002256;-0.030503;-0.012712;-0.016231;-0.001527
203;0.001394;-0.0001;-0.015301;-0.004865;0.000414;-0.009006;0.003566;-0.012862;0.040816;0.000414;-0.019024;-0.004587
204;-0.00087;0;-0.004456;0.001683;-0.003567;-0.002673;0.003054;-0.002864;0.026552;-0.003567;0.003089;0.00014
205;-0.005051;-0.00005;-0.012562;0.007121;-0.008248;0.006738;-0.003321;0.002585;-0.00955;-0.008248;0.002908;0.004747
206;-0.0021;-0.00005;0.044793;-0.004608;0.015117;0.003423;-0.004943;-0.00043;-0.011249;0.015117;0.009724;0.004308
207;-0.009823;-0.00015;-0.015312;0.006305;-0.009842;0.000985;-0.000279;0.00086;0.047948;-0.009842;0.001858;0.004566
208;0.000177;0.000301;0.022214;-0.005552;0.022377;0.01045;-0.004801;0.017752;0.030244;0.023522;0.010118;0.013361
209;0.005313;0.00005;0.029953;0.007976;0.001527;0.002623;0.001178;0;-0.010162;0.001881;0.015359;0.00435
210;0.003524;0.00005;0.001723;-0.001266;0.000305;0.000448;-0.002633;0.008862;-0.039163;0.000152;-0.010358;-0.002842
211;0.004916;-0.00005;-0.043425;-0.003961;-0.017173;-0.004632;-0.002528;-0.012688;-0.016225;-0.017201;-0.00216;-0.006922
212;0.003669;0.0001;-0.018863;0.000398;-0.003515;-0.003828;0.00642;-0.004378;0.000402;-0.003459;-0.014985;-0.00574
213;-0.013925;-0.000351;-0.005947;0.000795;-0.001919;0.001432;-0.001903;0.00383;0.040611;-0.002072;0.029919;0.003162
214;0.005119;0.000201;0.010837;-0.007389;0.00473;-0.022722;0.017156;0.006924;-0.072643;0.004621;-0.01116;-0.011236
215;-0.003161;-0.00005;0.003387;0.003762;0.006053;0.000154;0.002095;-0.008701;0.0025;0.006046;0.009129;0.007622
216;0.002995;0.00015;0.007717;0.000638;0.004885;-0.014549;0.016227;0.005379;-0.034497;0.004726;-0.017434;-0.00055
217;0.001932;0.0002;-0.015609;0.000398;-0.008392;-0.000937;0.001353;-0.006195;-0.023246;-0.008436;0.015735;0.000963
218;0.000526;-0.00015;0.018325;-0.000319;0.007896;0.008757;-0.004389;0.012468;0.01807;0.007837;0.010712;0.003024
219;-0.001051;-0.00005;0.004297;-0.003108;0.001638;-0.000155;-0.001509;-0.007557;0.022511;0.001688;-0.001141;0.001645
220;-0.001228;0;0.000329;-0.008952;0.001994;0.004186;-0.008809;0.000705;-0.04022;0.002043;-0.001632;-0.001505
221;0.001054;0;-0.013526;0.000403;-0.010305;0.000695;0.002688;-0.008736;-0.09925;-0.01055;0.00278;0.001096
